"Source2","Min.same","Min.diff","Strain","Isolate","state","SNP.cluster","season"
"dairy",1,12,"CFSAN048641","PDT000125770.2","WA","PDS000000270.29","Spring"
"dairy",0,11,"CFSAN048642","PDT000125771.2","WA","PDS000000270.29","Spring"
"dairy",0,11,"CFSAN048643","PDT000125772.2","WA","PDS000000270.29","Spring"
"dairy",0,11,"CFSAN048644","PDT000125773.2","WA","PDS000000270.29","Spring"
"environment",29,37,"CFSAN048646","PDT000125775.2","WA","PDS000025433.69","Spring"
"environment",3,22,"CFSAN048648","PDT000125777.2","GA","PDS000024989.120","Summer"
"environment",8,37,"CFSAN048649","PDT000125778.2","GA","PDS000024989.120","Summer"
"environment",37,38,"CFSAN048650","PDT000125779.2","WA","PDS000025067.45","Summer"
"environment",21,45,"CFSAN048710","PDT000125784.2","OK","PDS000024810.2","Summer"
"environment",3,7,"CFSAN048711","PDT000125785.2","WA","PDS000006328.31","Summer"
"environment",6,10,"CFSAN048712","PDT000125786.2","WA","PDS000006328.31","Summer"
"environment",3,7,"CFSAN048713","PDT000125787.2","WA","PDS000006328.31","Summer"
"environment",2,6,"CFSAN048714","PDT000125788.2","WA","PDS000006328.31","Summer"
"vegetables",4,4,"CFSAN048715","PDT000125789.2","WA","PDS000000305.37","Summer"
"vegetables",0,1,"CFSAN048716","PDT000125790.2","WA","PDS000000305.37","Summer"
"vegetables",1,0,"CFSAN048717","PDT000125791.2","WA","PDS000000305.37","Summer"
"vegetables",1,5,"CFSAN048718","PDT000125792.2","WA","PDS000006328.31","Summer"
"dairy",29,25,"ARS-CC9283","PDT000125073.2","OH","PDS000003172.105","Winter"
"environment",6,13,"CFSAN048653","PDT000125172.2","RI","PDS000000270.29","Summer"
"environment",6,15,"CFSAN048654","PDT000125175.2","RI","PDS000000270.29","Summer"
"vegetables",1,26,"FDA953302","PDT000125176.2","CA","PDS000025466.69","Spring"
"environment",11,29,"FDA317850-13","PDT000125177.2","CA","PDS000024659.22","Summer"
"environment",0,22,"FDA622427 19-LMCA-D","PDT000125181.2","CA","PDS000024349.25","Spring"
"environment",0,22,"FDA622427 19-OXA-E","PDT000125182.2","CA","PDS000024349.25","Spring"
"sea_food",8,36,"AK1512500162","PDT000125345.2","AK","PDS000024578.1","Spring"
"other",9,31,"AK1514900063","PDT000125346.2","AK","PDS000024578.1","Spring"
"environment",3,23,"CFSAN046221","PDT000125352.2","GA","PDS000024989.120","Spring"
"environment",1,22,"CFSAN046227","PDT000125686.2","TX","PDS000024989.120","Spring"
"environment",3,20,"CFSAN046229","PDT000125688.2","TX","PDS000024989.120","Spring"
"environment",2,20,"CFSAN046230","PDT000125689.2","TX","PDS000024989.120","Spring"
"environment",8,9,"CFSAN046231","PDT000125690.2","IL","PDS000000366.504","Spring"
"environment",0,22,"CFSAN046233","PDT000125692.2","TX","PDS000024989.120","Spring"
"environment",0,22,"CFSAN046234","PDT000125693.2","TX","PDS000024989.120","Spring"
"environment",4,24,"CFSAN046236","PDT000125695.2","GA","PDS000024989.120","Spring"
"environment",6,23,"CFSAN046238","PDT000125697.2","WA","PDS000024647.66","Spring"
"environment",5,33,"CFSAN046239","PDT000125698.2","GA","PDS000024989.120","Spring"
"environment",2,21,"CFSAN046240","PDT000125699.2","WA","PDS000024647.66","Spring"
"environment",2,21,"CFSAN046241","PDT000125700.2","WA","PDS000024647.66","Spring"
"environment",1,21,"CFSAN046242","PDT000125701.2","WA","PDS000025433.69","Spring"
"environment",8,24,"CFSAN046243","PDT000125702.2","WA","PDS000000366.504","Spring"
"dairy",0,5,"CFSAN046244","PDT000125703.2","WA","PDS000000270.29","Spring"
"dairy",0,5,"CFSAN046245","PDT000125704.2","WA","PDS000000270.29","Spring"
"dairy",0,5,"CFSAN046246","PDT000125705.2","WA","PDS000000270.29","Spring"
"dairy",0,5,"CFSAN046247","PDT000125706.2","WA","PDS000000270.29","Spring"
"dairy",0,5,"CFSAN046248","PDT000125707.2","WA","PDS000000270.29","Spring"
"dairy",0,5,"CFSAN046249","PDT000125708.2","WA","PDS000000270.29","Spring"
"environment",7,17,"CFSAN046252","PDT000125711.2","WA","PDS000024989.120","Spring"
"environment",7,20,"CFSAN046253","PDT000125712.2","WA","PDS000024989.120","Spring"
"environment",1,22,"CFSAN046254","PDT000125713.2","WA","PDS000025433.69","Spring"
"environment",0,1,"FDA0973978-S026-001","PDT000168574.2","NY","PDS000024856.163","Fall"
"environment",1,1,"FDA0973978-S049-001","PDT000168575.2","NY","PDS000024856.163","Fall"
"environment",0,1,"FDA0973978-S027-001","PDT000168578.2","NY","PDS000024856.163","Fall"
"environment",12,28,"FDA977728-S043-0AR","PDT000172211.2","TX","PDS000025133.8","Fall"
"dairy",0,32,"FLAG-21973-2A","PDT000172269.2","FL","PDS000003204.124","Fall"
"dairy",0,32,"FLAG-21973-2B","PDT000172271.2","FL","PDS000003204.124","Fall"
"other",1,28,"FLAG-33652","PDT000172276.3","FL","PDS000083553.8","Spring"
"environment",2,2,"FDA967586-008-001","PDT000173464.2","SC","PDS000024390.8","Summer"
"environment",8,32,"FDA976438-029-001","PDT000173466.2","SC","PDS000024196.41","Fall"
"environment",29,41,"FDA976438-095-001","PDT000173469.2","SC","PDS000024196.41","Fall"
"environment",4,23,"FDA976438-096-001","PDT000173473.2","SC","PDS000024196.41","Fall"
"environment",6,31,"FDA976438-098-001","PDT000173474.2","SC","PDS000024196.41","Fall"
"environment",6,25,"FDA976438-099-001","PDT000173475.2","SC","PDS000024196.41","Fall"
"environment",4,23,"FDA976438-101-001","PDT000173476.2","SC","PDS000024196.41","Fall"
"environment",4,27,"FDA976438-105-001","PDT000173477.2","SC","PDS000024196.41","Fall"
"environment",4,23,"FDA976438-100-001","PDT000173479.2","SC","PDS000024196.41","Fall"
"environment",10,23,"FDA453739-5 PAL4","PDT000173535.2","HI","PDS000024574.25","Spring"
"environment",1,28,"FDA453739-5 RLM1","PDT000173536.2","HI","PDS000024574.25","Spring"
"environment",1,27,"FDA453739-5 OXA1","PDT000173537.2","HI","PDS000024574.25","Spring"
"environment",0,0,"FDA915555-02","PDT000174280.1","OH","PDS000024934.85","Winter"
"environment",0,1,"FDA0976905-S047-00B","PDT000175369.2","OK","PDS000024934.85","Fall"
"environment",0,29,"FDA0977973-S042-00A","PDT000175370.2","TX","PDS000024196.41","Winter"
"fruits",1,33,"FDA866014 S15","PDT000178535.2","MA","PDS000024920.7","Summer"
"fruits",1,34,"FDA866014 C3","PDT000178537.2","MA","PDS000024920.7","Summer"
"fruits",0,0,"FDA773872 C3","PDT000178539.2","CO","PDS000024915.2","Summer"
"fruits",0,40,"FDA871250 C19","PDT000178568.2","CA","PDS000024225.10","Summer"
"fruits",1,36,"FDA869098 C3","PDT000178569.2","MA","PDS000000318.69","Summer"
"fruits",1,37,"FDA869098 S11","PDT000178571.2","MA","PDS000000318.69","Summer"
"fruits",13,31,"FDA866014 S17","PDT000178572.2","MA","PDS000000318.69","Summer"
"fruits",0,19,"FDA866014 S20","PDT000178573.2","MA","PDS000000318.69","Summer"
"fruits",0,19,"FDA866014 C4","PDT000178574.2","MA","PDS000000318.69","Summer"
"environment",2,3,"FDA646415 90-6","PDT000178769.2","TX","PDS000000367.99","Fall"
"environment",4,0,"FDA646415 85-6","PDT000178770.2","TX","PDS000000367.99","Fall"
"dairy",3,23,"FDA336834 2A","PDT000178927.3","TX","PDS000025133.8","Winter"
"dairy",3,20,"FDA336834 1A","PDT000178928.3","TX","PDS000025133.8","Winter"
"environment",15,23,"FDA337326 1H","PDT000178929.3","TX","PDS000025466.69","Fall"
"environment",35,27,"FDA337326 1P","PDT000178930.3","TX","PDS000024659.22","Fall"
"poultry",1,1,"FDA300796-4","PDT000178932.3","TX","PDS000003054.26","Spring"
"environment",1,1,"FDA300798-12","PDT000178933.2","TX","PDS000003054.26","Spring"
"poultry",2,2,"FDA300796-7","PDT000178934.3","TX","PDS000003054.26","Spring"
"poultry",0,0,"FDA300796-8","PDT000178936.3","TX","PDS000003054.26","Spring"
"environment",1,1,"FDA314898","PDT000178937.2","TX","PDS000003054.26","Summer"
"environment",2,27,"FDA986572-S085-001","PDT000178938.2","GA","PDS000024989.120","Winter"
"environment",2,29,"FDA986572-S085-006","PDT000178939.2","GA","PDS000024989.120","Winter"
"dairy",2,5,"FDA0984141-506-001","PDT000178940.2","CO","PDS000000361.41","Winter"
"environment",3,4,"FDA646413 30-6","PDT000181009.2","TX","PDS000000367.99","Fall"
"environment",1,1,"FDA646413 15-1","PDT000181011.2","TX","PDS000000367.99","Fall"
"environment",2,3,"FDA646413 19-6","PDT000181012.2","TX","PDS000000367.99","Fall"
"environment",1,1,"FDA646413 8-1","PDT000181013.2","TX","PDS000000367.99","Fall"
"other",0,8,"CFSAN059313","PDT000181024.2","WI","PDS000000366.504","Winter"
"other",0,8,"CFSAN059314","PDT000181026.2","WI","PDS000000366.504","Winter"
"other",1,9,"CFSAN059312","PDT000181031.2","WI","PDS000000366.504","Winter"
"fruits",1,25,"FDA854691 C4","PDT000181423.2","CA","PDS000024278.13","Summer"
"fruits",1,26,"FDA854691 S16","PDT000181424.2","CA","PDS000024278.13","Summer"
"fruits",14,11,"FDA869296 S45","PDT000181425.2","CA","PDS000024278.13","Summer"
"fruits",0,0,"FDA849740 S20","PDT000181427.2","IL","PDS000024915.2","Summer"
"other",0,14,"FDA328895 2","PDT000181486.2","CA","PDS000000367.99","Spring"
"environment",1,1,"FDA646415 76-6","PDT000181545.2","TX","PDS000000367.99","Fall"
"environment",0,7,"FDA646413 7-6","PDT000181547.2","TX","PDS000000367.99","Fall"
"environment",1,7,"FDA646415 74-1","PDT000181555.2","TX","PDS000000367.99","Fall"
"environment",2,3,"FDA646413 36-6","PDT000181556.2","TX","PDS000000367.99","Fall"
"environment",2,22,"FDA875790-077-001","PDT000162250.2","VA","PDS000025433.69","Fall"
"environment",1,24,"FDA875790-071-001","PDT000162251.2","VA","PDS000025433.69","Fall"
"environment",6,19,"FDA875790-045-001","PDT000162254.2","VA","PDS000000366.504","Fall"
"environment",1,23,"FDA875790-064-001","PDT000162259.2","VA","PDS000025433.69","Fall"
"environment",5,18,"FDA875790-054-001","PDT000162260.2","VA","PDS000000366.504","Fall"
"environment",1,24,"FDA875790-065-001","PDT000162262.2","VA","PDS000025433.69","Fall"
"environment",3,23,"FDA875790-069-001","PDT000162263.2","VA","PDS000025433.69","Fall"
"environment",3,23,"FDA875790-073-001","PDT000162264.2","VA","PDS000025433.69","Fall"
"environment",3,23,"FDA875790-076-001","PDT000162265.2","VA","PDS000025433.69","Fall"
"environment",2,22,"FDA875790-072-001","PDT000162267.2","VA","PDS000025433.69","Fall"
"environment",2,22,"FDA875791-064-001","PDT000162312.4","VA","PDS000000366.504","Fall"
"environment",1,24,"FDA875790-070-001","PDT000162313.2","VA","PDS000025433.69","Fall"
"environment",10,25,"FDA0832262-S081-005","PDT000162776.2","HI","PDS000024574.25","Fall"
"environment",6,1,"FDA0903763-S015-005","PDT000162779.2","CA","PDS000000366.504","Fall"
"environment",0,32,"FDA0832662-S021-005","PDT000162782.2","HI","PDS000024574.25","Fall"
"environment",0,32,"FDA0832662-S022-005","PDT000162783.2","HI","PDS000024574.25","Fall"
"leafy_greens",4,33,"CFSAN002242","PDT000162928.4","CO","PDS000024196.41","Spring"
"environment",0,22,"FDA875791-069-001","PDT000163058.4","VA","PDS000000366.504","Fall"
"environment",10,14,"FDA875791-086-001","PDT000163059.4","VA","PDS000024989.120","Fall"
"environment",18,27,"FDA875791-106-001","PDT000163060.4","VA","PDS000000366.504","Fall"
"environment",0,22,"FDA875791-070-001","PDT000163061.4","VA","PDS000000366.504","Fall"
"environment",3,23,"FDA875791-071-001","PDT000163063.4","VA","PDS000000366.504","Fall"
"environment",18,32,"FDA0964468-S065-001","PDT000163092.3","NY","PDS000024349.25","Fall"
"environment",3,15,"FDA0965251-S095-001","PDT000163097.3","NH","PDS000024754.1","Fall"
"environment",2,14,"FDA0965251-S091-001","PDT000163098.3","NH","PDS000024754.1","Fall"
"environment",2,12,"FDA0965251-S071-001","PDT000163099.3","NH","PDS000024754.1","Fall"
"dairy",0,0,"C2013013299","PDT000163763.2","MN","PDS000016149.19","Summer"
"dairy",3,3,"C2013012826","PDT000163765.2","MN","PDS000016149.19","Summer"
"dairy",3,30,"FDA851661","PDT000167523.2","TX","PDS000024349.25","Fall"
"dairy",0,31,"FDA851660","PDT000167524.2","TX","PDS000024349.25","Fall"
"dairy",0,31,"FDA851662","PDT000167525.2","TX","PDS000024349.25","Fall"
"dairy",0,31,"FDA851663","PDT000167527.2","TX","PDS000024349.25","Fall"
"dairy",0,31,"FDA851664","PDT000167529.2","TX","PDS000024349.25","Fall"
"environment",4,18,"FDA949210-44-1","PDT000167530.2","IN","PDS000000366.504","Fall"
"environment",0,1,"FDA0976905-S038-00B","PDT000175372.2","OK","PDS000024934.85","Fall"
"environment",0,1,"FDA0976905-S035-00B","PDT000175373.2","OK","PDS000024934.85","Fall"
"environment",1,30,"FDA0977973-S023-00A","PDT000175374.2","TX","PDS000024196.41","Winter"
"environment",2,19,"FDA981013-097-001","PDT000175379.2","CA","PDS000000366.504","Winter"
"environment",2,15,"FDA981013-081-001","PDT000175386.2","CA","PDS000024989.120","Winter"
"environment",2,13,"FDA981013-081-007","PDT000175389.2","CA","PDS000024989.120","Winter"
"environment",2,17,"FDA981013-097-007","PDT000175392.2","CA","PDS000000366.504","Winter"
"fruits",1,1,"FDA894066-6-A","PDT000175489.1","NE","PDS000003342.11","Winter"
"sea_food",13,30,"13B07019-13","PDT000175493.2","NY","PDS000003204.124","Summer"
"sea_food",13,22,"13B07017-1","PDT000175495.2","NY","PDS000003204.124","Summer"
"sea_food",5,28,"13B07018-6","PDT000175496.2","NY","PDS000003204.124","Summer"
"sea_food",1,23,"13B07016-1","PDT000175497.2","NY","PDS000000366.504","Summer"
"sea_food",13,25,"13B06562-1","PDT000175498.2","NY","PDS000003204.124","Summer"
"sea_food",5,25,"13B07020-1","PDT000175502.2","NY","PDS000003204.124","Summer"
"other",8,10,"13B04253-6","PDT000175512.2","NY","PDS000024645.152","Spring"
"sea_food",6,5,"13B03210-1","PDT000175513.2","NY","PDS000032941.140","Spring"
"environment",16,32,"FDA977728-S025-0AR","PDT000176249.2","TX","PDS000025133.8","Fall"
"dairy",1,16,"KS-15037-8","PDT000176454.1","KS","PDS000000459.3","Spring"
"sea_food",23,24,"TX-AML1604753","PDT000176598.2","TX","PDS000000366.504","Winter"
"environment",11,34,"FDA0948605-056-006","PDT000159027.2","ID","PDS000024470.24","Fall"
"environment",10,11,"FDA0952968-124-037","PDT000159028.2","WA","PDS000000366.504","Fall"
"environment",12,32,"FDA0952967-050-041","PDT000159030.2","WA","PDS000025466.69","Fall"
"environment",3,9,"FDA0952968-117-012","PDT000159031.2","WA","PDS000000366.504","Fall"
"environment",3,10,"FDA0952968-129-046","PDT000159032.2","WA","PDS000000366.504","Fall"
"environment",6,15,"FDA0952968-141-062","PDT000159034.2","WA","PDS000025067.45","Fall"
"environment",12,40,"FDA0952967-013-016","PDT000159035.2","WA","PDS000025466.69","Fall"
"environment",9,15,"FDA0952967-016-026","PDT000159036.2","WA","PDS000000366.504","Fall"
"environment",9,22,"FDA0952967-003-006","PDT000159037.2","WA","PDS000000366.504","Fall"
"environment",10,33,"FDA0948606-111-006","PDT000159038.2","ID","PDS000024470.24","Fall"
"sea_food",3,8,"WAPHL-LIS-A00045","PDT000161087.2","Other","PDS000024856.163","Winter"
"environment",2,32,"CFSAN056340","PDT000161839.2","IA","PDS000024349.25","Fall"
"environment",1,30,"CFSAN056348","PDT000161841.2","IA","PDS000024349.25","Fall"
"environment",2,33,"CFSAN056345","PDT000161842.2","IA","PDS000024349.25","Fall"
"environment",6,15,"CFSAN056353","PDT000161843.2","GA","PDS000000366.504","Fall"
"environment",1,35,"CFSAN056338","PDT000161844.2","IA","PDS000024349.25","Fall"
"environment",2,18,"CFSAN056354","PDT000161845.2","GA","PDS000024989.120","Fall"
"environment",0,29,"CFSAN056346","PDT000161846.2","IA","PDS000024349.25","Fall"
"environment",2,18,"CFSAN056356","PDT000161847.2","GA","PDS000024989.120","Fall"
"environment",2,31,"CFSAN056347","PDT000161848.2","IA","PDS000024349.25","Fall"
"environment",1,31,"CFSAN056339","PDT000161850.2","IA","PDS000024349.25","Fall"
"environment",24,26,"CFSAN056357","PDT000161852.2","GA","PDS000024989.120","Fall"
"environment",2,33,"CFSAN056341","PDT000161853.2","IA","PDS000024349.25","Fall"
"environment",0,31,"CFSAN056343","PDT000161859.2","IA","PDS000024349.25","Fall"
"environment",2,38,"CFSAN056342","PDT000161860.2","IA","PDS000024349.25","Fall"
"other",1,6,"FDA615985 2-3","PDT000181549.2","TX","PDS000000367.99","Fall"
"environment",0,7,"FDA646413 4-6","PDT000181550.2","TX","PDS000000367.99","Fall"
"environment",2,2,"FDA646413 6-6","PDT000181568.2","TX","PDS000000367.99","Fall"
"other",6,6,"FDA615985 2-1","PDT000181571.2","TX","PDS000000367.99","Fall"
"environment",1,1,"FDA615984 31-6","PDT000181572.2","TX","PDS000000367.99","Fall"
"environment",0,0,"FDA615984 40-6","PDT000181573.2","TX","PDS000000367.99","Fall"
"environment",3,24,"FDA489463-22","PDT000181574.2","AK","PDS000003258.69","Fall"
"environment",1,7,"FDA615984 19-6","PDT000181575.2","TX","PDS000000367.99","Fall"
"environment",0,0,"FDA615984 27-6","PDT000181576.2","TX","PDS000000367.99","Fall"
"environment",3,22,"FDA0968222-066-017","PDT000167535.2","CA","PDS000024989.120","Fall"
"environment",3,25,"FDA0968222-067-026","PDT000167541.2","CA","PDS000024989.120","Fall"
"environment",24,19,"FDA0899350-S010-00B","PDT000167596.2","MO","PDS000000314.80","Winter"
"environment",2,9,"CDPHFDLB-F15M03686-14a","PDT000249579.1","CA","PDS000000337.47","Fall"
"environment",0,9,"CDPHFDLB-F15M03680-8a","PDT000249580.1","CA","PDS000000337.47","Fall"
"environment",4,12,"CDPHFDLB-F15M03685-13a","PDT000249581.1","CA","PDS000000337.47","Fall"
"environment",0,7,"CDPHFDLB-F15M03681-9a","PDT000249582.1","CA","PDS000000337.47","Fall"
"environment",0,24,"CDPHFDLB-F15M03122-2","PDT000249583.1","CA","PDS000024934.85","Fall"
"environment",0,8,"CDPHFDLB-F15M03674-2a","PDT000249584.1","CA","PDS000000337.47","Fall"
"environment",0,9,"CDPHFDLB-F15M03678-6b","PDT000249585.1","CA","PDS000000337.47","Fall"
"environment",0,24,"CDPHFDLB-F15M03122-1","PDT000249586.1","CA","PDS000024934.85","Fall"
"environment",1,12,"CDPHFDLB-F15M02284-8b","PDT000249587.1","CA","PDS000000366.504","Summer"
"environment",1,11,"CDPHFDLB-F15M02279-3b","PDT000249588.1","CA","PDS000000366.504","Summer"
"environment",1,12,"CDPHFDLB-F15M02278-2b","PDT000249589.1","CA","PDS000000366.504","Summer"
"environment",9,18,"CDPHFDLB-F15M01653-61B","PDT000249591.1","CA","PDS000025111.26","Summer"
"environment",0,0,"CDPHFDLB-F14M01770.86-4","PDT000249593.1","CA","PDS000024934.85","Winter"
"environment",4,11,"CDPHFDLB-F15M01624-32A","PDT000249594.1","CA","PDS000000337.47","Summer"
"environment",0,0,"CDPHFDLB-F14M01770.86-3","PDT000249595.1","CA","PDS000024934.85","Winter"
"environment",5,12,"CDPHFDLB-F15M01605-12B","PDT000249596.1","CA","PDS000000337.47","Summer"
"environment",0,0,"CDPHFDLB-F14M01770.86-2","PDT000249597.1","CA","PDS000024934.85","Winter"
"environment",0,0,"CDPHFDLB-F14M01770.86-1","PDT000249598.1","CA","PDS000024934.85","Winter"
"environment",1,9,"CDPHFDLB-F14M01574.16-4","PDT000249617.1","CA","PDS000000366.504","Winter"
"environment",0,8,"CDPHFDLB-F14M01574.16-3","PDT000249620.1","CA","PDS000000366.504","Winter"
"other",0,3,"CDPHFDLB-F14M01297.C3","PDT000249621.1","CA","PDS000024934.85","Summer"
"environment",0,8,"CDPHFDLB-F14M01574.16-1","PDT000249622.1","CA","PDS000000366.504","Winter"
"environment",0,8,"CDPHFDLB-F14M01574.16-2","PDT000249623.1","CA","PDS000000366.504","Winter"
"other",1,4,"CDPHFDLB-F14M01297.C1","PDT000249624.1","CA","PDS000024934.85","Summer"
"other",0,20,"CDPHFDLB-F12M00925","PDT000249634.1","CA","PDS000024989.120","Summer"
"other",1,18,"CDPHFDLB-F12M00923","PDT000249635.1","CA","PDS000024989.120","Summer"
"other",1,19,"CDPHFDLB-F12M00922","PDT000249636.1","CA","PDS000024989.120","Summer"
"environment",3,18,"CDPHFDLB-F12M00869b","PDT000249637.1","CA","PDS000024989.120","Summer"
"environment",0,14,"CDPHFDLB-F12M00838","PDT000249638.1","CA","PDS000024989.120","Summer"
"environment",3,10,"CDPHFDLB-F12M00837","PDT000249639.1","CA","PDS000024989.120","Summer"
"environment",0,14,"CDPHFDLB-F12M00839","PDT000249640.1","CA","PDS000024989.120","Summer"
"environment",2,15,"CDPHFDLB-F12M00869a","PDT000249641.1","CA","PDS000024989.120","Summer"
"environment",3,11,"CDPHFDLB-F12M00836","PDT000249642.1","CA","PDS000024989.120","Summer"
"environment",14,25,"CDPHFDLB-F12M00835","PDT000249643.1","CA","PDS000024989.120","Summer"
"environment",5,20,"CDPHFDLB-F12M00834","PDT000249644.1","CA","PDS000024989.120","Summer"
"environment",4,18,"CDPHFDLB-F12M00833","PDT000249645.1","CA","PDS000024989.120","Summer"
"environment",4,23,"CDPHFDLB-F12M00829","PDT000249646.1","CA","PDS000024989.120","Summer"
"environment",5,17,"CDPHFDLB-F12M00831","PDT000249647.1","CA","PDS000024989.120","Summer"
"environment",11,22,"CDPHFDLB-F12M00827","PDT000249648.1","CA","PDS000024989.120","Summer"
"environment",4,23,"CDPHFDLB-F12M00826","PDT000249649.1","CA","PDS000024989.120","Summer"
"environment",4,18,"CDPHFDLB-F12M00828","PDT000249650.1","CA","PDS000024989.120","Summer"
"environment",9,19,"CDPHFDLB-F12M00823","PDT000249651.1","CA","PDS000024989.120","Summer"
"environment",1,21,"CDPHFDLB-F12M00821","PDT000249653.1","CA","PDS000024989.120","Summer"
"environment",0,20,"CDPHFDLB-F12M00817","PDT000249655.1","CA","PDS000024989.120","Summer"
"poultry",1,10,"CDPHFDLB-F09M01164","PDT000249660.1","CA","PDS000000450.27","Fall"
"dairy",22,8,"CDPHFDLB-F09M01172","PDT000249661.1","CA","PDS000024639.22","Fall"
"poultry",1,9,"CDPHFDLB-F09M01162","PDT000249662.1","CA","PDS000000450.27","Fall"
"other",8,14,"CDPHFDLB-F07F-672","PDT000249663.1","CA","PDS000024989.120","Summer"
"dairy",0,2,"FDA1015798-C001-001","PDT000250489.2","RI","PDS000025067.45","Fall"
"meat",1,3,"FDA1015799-C001-001","PDT000250490.2","RI","PDS000025067.45","Fall"
"dairy",0,2,"FDA1015798-C001-002","PDT000250537.2","RI","PDS000025067.45","Fall"
"dairy",0,7,"FLAG-31062-2","PDT000252884.2","FL","PDS000025513.38","Summer"
"meat",30,29,"FLAG-31615","PDT000252886.2","FL","PDS000024856.163","Summer"
"dairy",2,12,"FLAG-15077","PDT000252907.2","FL","PDS000000366.504","Spring"
"poultry",0,45,"FLAG-9480","PDT000252914.2","FL","PDS000025133.8","Fall"
"other",1,25,"FLAG-16403","PDT000252918.2","FL","PDS000039359.13","Summer"
"dairy",0,10,"FLAG-15078","PDT000252921.2","FL","PDS000000366.504","Spring"
"dairy",0,45,"FLAG-9481","PDT000252924.2","FL","PDS000025133.8","Fall"
"other",1,7,"FLAG-11710","PDT000253067.2","FL","PDS000000366.504","Winter"
"other",1,8,"FLAG-11712","PDT000253069.2","FL","PDS000000366.504","Winter"
"other",3,26,"FLAG-2896","PDT000253077.5","FL","PDS000000366.504","Fall"
"other",32,33,"FLAG-11752","PDT000253126.2","FL","PDS000025067.45","Winter"
"environment",6,31,"FDA739938 2-1","PDT000253524.2","CA","PDS000024349.25","Winter"
"environment",0,25,"FDA0971496-029-002","PDT000253526.2","CA","PDS000024989.120","Winter"
"environment",5,29,"FDA739938 7-1","PDT000253528.2","CA","PDS000024349.25","Winter"
"environment",4,17,"FDA722304 118-1","PDT000253530.2","CA","PDS000024989.120","Spring"
"environment",6,16,"FDA722304 131-1","PDT000253531.4","CA","PDS000024989.120","Spring"
"environment",21,31,"FDA722304 57-1","PDT000253532.2","CA","PDS000024989.120","Spring"
"environment",2,33,"FDA739938 1-1","PDT000253534.2","CA","PDS000024349.25","Winter"
"environment",2,15,"FDA722304 139-1","PDT000253535.2","CA","PDS000024989.120","Spring"
"environment",5,20,"FDA722304 119-1","PDT000253536.2","CA","PDS000024989.120","Spring"
"environment",7,26,"FDA722304 123-1","PDT000253537.2","CA","PDS000024989.120","Spring"
"environment",1,23,"FDA0971496-032-006","PDT000253538.2","CA","PDS000024989.120","Winter"
"environment",4,17,"FDA722304 117-1","PDT000253539.2","CA","PDS000024989.120","Spring"
"environment",11,21,"FDA722304 32-1","PDT000253540.2","CA","PDS000024989.120","Spring"
"environment",11,19,"FDA722304 115-1","PDT000253541.2","CA","PDS000024989.120","Spring"
"environment",12,15,"FDA722304 30-1","PDT000253542.2","CA","PDS000024989.120","Spring"
"environment",1,24,"FDA0971496-023-001","PDT000253543.2","CA","PDS000024989.120","Winter"
"environment",0,25,"FDA0971496-016-006","PDT000253544.2","CA","PDS000024989.120","Winter"
"poultry",2,3,"FDA1016296-S001-001","PDT000257199.2","CO","PDS000024511.5","Fall"
"poultry",2,5,"FDA1016296-S001-002","PDT000257207.2","CO","PDS000024511.5","Fall"
"other",6,3,"FLAG-12249","PDT000257634.2","FL","PDS000083153.2","Winter"
"other",17,25,"FLAG-14453","PDT000257689.2","FL","PDS000083553.8","Spring"
"sea_food",29,30,"FLAG-13302","PDT000257691.2","FL","PDS000000366.504","Spring"
"vegetables",5,29,"FLAG-14807","PDT000257694.2","FL","PDS000024574.25","Spring"
"dairy",1,11,"FLAG-14473","PDT000257702.2","FL","PDS000000366.504","Spring"
"environment",8,28,"FDA672595 52-2","PDT000258706.2","CA","PDS000024989.120","Spring"
"environment",5,30,"FDA672595 71-1","PDT000258707.2","CA","PDS000024989.120","Spring"
"environment",3,40,"FDA672595 61-3","PDT000258709.2","CA","PDS000003313.18","Spring"
"environment",17,33,"FDA672595 78-2","PDT000258710.2","CA","PDS000000366.504","Spring"
"environment",7,29,"FDA672595 36-1","PDT000258713.2","CA","PDS000024989.120","Spring"
"environment",1,36,"FDA672595 67-1","PDT000258714.2","CA","PDS000003313.18","Spring"
"environment",13,23,"FDA722304 105-1","PDT000258749.2","CA","PDS000024989.120","Spring"
"environment",9,17,"FDA722304 100-1","PDT000258750.2","CA","PDS000024989.120","Spring"
"environment",4,12,"FDA722304 106-1","PDT000258753.2","CA","PDS000024989.120","Spring"
"environment",0,1,"CDPHFDLB-F1605034-061-2","PDT000249523.1","CA","PDS000003087.55","Spring"
"vegetables",0,3,"CDPHFDLB-F1605001-005-2C2","PDT000249524.1","CA","PDS000000305.37","Spring"
"environment",1,17,"CDPHFDLB-F1610030-049B","PDT000249525.1","CA","PDS000003277.110","Fall"
"environment",1,16,"CDPHFDLB-F1610030-049A","PDT000249526.1","CA","PDS000003277.110","Fall"
"vegetables",0,3,"CDPHFDLB-F1605001-005-2C1","PDT000249527.1","CA","PDS000000305.37","Spring"
"vegetables",6,10,"CDPHFDLB-F1605001-004-2B2","PDT000249528.1","CA","PDS000006328.31","Spring"
"environment",0,1,"CDPHFDLB-F1605034-061-1","PDT000249529.1","CA","PDS000003087.55","Spring"
"vegetables",2,3,"CDPHFDLB-F1605001-004-2B1","PDT000249530.1","CA","PDS000000305.37","Spring"
