"Source","Min.same","Min.diff","Location","Strain","Isolate","state"
"dairy",2,5,"USA","MOD1-LS1122","PDT000497438.1","TX"
"dairy",1,9,"USA","MOD1-LS1180","PDT000497439.1","TX"
"dairy",0,7,"USA","MOD1-LS1105","PDT000497440.1","TX"
"dairy",0,9,"USA","MOD1-LS1178","PDT000497441.1","TX"
"dairy",0,8,"USA","MOD1-LS1099","PDT000497442.1","TX"
"dairy",0,10,"USA","MOD1-LS1100","PDT000497443.1","TX"
"dairy",1,2,"USA","MOD1-LS1195","PDT000497444.1","TX"
"dairy",0,2,"USA","MOD1-LS1193","PDT000497445.1","TX"
"dairy",1,1,"USA","MOD1-LS1104","PDT000497446.1","TX"
"dairy",1,4,"USA","MOD1-LS1153","PDT000497447.1","TX"
"dairy",3,12,"USA","MOD1-LS1129","PDT000497448.1","TX"
"dairy",2,9,"USA","MOD1-LS1107","PDT000497449.1","TX"
"dairy",3,5,"USA","MOD1-LS1106","PDT000497450.1","TX"
"dairy",0,16,"USA","MOD1-LS1103","PDT000497451.1","TX"
"dairy",0,10,"USA","MOD1-LS1134","PDT000497452.1","TX"
"dairy",0,3,"USA","MOD1-LS1191","PDT000497453.1","TX"
"dairy",0,8,"USA","MOD1-LS1147","PDT000497454.1","TX"
"dairy",0,8,"USA","MOD1-LS1117","PDT000497455.1","TX"
"dairy",2,11,"USA","MOD1-LS1148","PDT000497456.1","TX"
"dairy",0,1,"USA","MOD1-LS1200","PDT000497457.1","TX"
"dairy",2,3,"USA","MOD1-LS1110","PDT000497458.1","TX"
"dairy",0,2,"USA","MOD1-LS1201","PDT000497459.1","TX"
"dairy",0,4,"USA","MOD1-LS1109","PDT000497460.1","TX"
"dairy",3,4,"USA","MOD1-LS1108","PDT000497461.1","TX"
"dairy",0,0,"USA","MOD1-LS1202","PDT000497462.1","TX"
"dairy",0,9,"USA","MOD1-LS1177","PDT000497463.1","TX"
"dairy",0,8,"USA","MOD1-LS1131","PDT000497470.1","TX"
"dairy",1,9,"USA","MOD1-LS1132","PDT000497471.1","TX"
"dairy",0,8,"USA","MOD1-LS1192","PDT000497472.1","TX"
"dairy",1,7,"USA","MOD1-LS1112","PDT000497479.1","TX"
"dairy",0,10,"USA","MOD1-LS1102","PDT000497480.1","TX"
"dairy",0,9,"USA","MOD1-LS1101","PDT000497481.1","TX"
"dairy",1,10,"USA","MOD1-LS1139","PDT000497482.1","TX"
"dairy",1,9,"USA","MOD1-LS1135","PDT000497483.1","TX"
"dairy",2,11,"USA","MOD1-LS1174","PDT000497484.1","TX"
"dairy",2,11,"USA","MOD1-LS1162","PDT000497485.1","TX"
"dairy",1,2,"USA","MOD1-LS1166","PDT000497486.1","TX"
"dairy",0,1,"USA","MOD1-LS1163","PDT000497487.1","TX"
"dairy",0,1,"USA","MOD1-LS1169","PDT000497488.1","TX"
"dairy",0,3,"USA","MOD1-LS1145","PDT000497491.1","TX"
"dairy",0,2,"USA","MOD1-LS1111","PDT000497492.1","TX"
"dairy",0,3,"USA","MOD1-LS1155","PDT000497493.1","TX"
"dairy",0,17,"USA","MOD1-LS1143","PDT000497494.1","TX"
"dairy",1,4,"USA","MOD1-LS1156","PDT000497496.1","TX"
"dairy",1,5,"USA","MOD1-LS1142","PDT000497497.1","TX"
"dairy",0,1,"USA","MOD1-LS1173","PDT000497498.1","TX"
"dairy",0,8,"USA","MOD1-LS1141","PDT000497499.1","TX"
"fish",10,16,"USA","FLAG-51633","PDT000504073.1","FL"
"beef",21,33,"USA","PHLUSALM00084","PDT000494578.1","WA"
"dairy",25,26,"USA","PHLUSALM00087","PDT000494579.1","WA"
"beef",22,25,"USA","PHLUSALM00085","PDT000494590.1","WA"
"dairy",0,8,"USA","MOD1-LS1136","PDT000496562.2","TX"
"water",1,2,"USA","FDA1108315-001-001","PDT000521307.1","FL"
"beef",3,3,"USA","PNUSAL006582","PDT000641236.1","TX"
"dairy",0,8,"USA","CFSAN100433","PDT000630307.2","IA"
"dairy",0,8,"USA","CFSAN100434","PDT000630310.2","IA"
"dairy",22,16,"USA","CFSAN100431","PDT000630330.2","IA"
"dairy",0,9,"USA","CFSAN100427","PDT000630369.2","IA"
"dairy",0,8,"USA","CFSAN100428","PDT000630370.2","IA"
"dairy",0,9,"USA","CFSAN100425","PDT000630374.2","IA"
"dairy",0,9,"USA","CFSAN100426","PDT000630385.2","IA"
"dairy",0,8,"USA","CFSAN100429","PDT000630409.2","IA"
"dairy",0,9,"USA","CFSAN100432","PDT000630547.2","IA"
"pork",0,23,"USA","FLAG-55551","PDT000631558.1","FL"
"pork",5,21,"USA","FLAG-55549","PDT000631559.1","FL"
"avocado",4,13,"USA","FDA1049099-C002-001","PDT000635845.1","CA"
"avocado",1,9,"USA","FDA1049099-C001-001","PDT000635848.1","CA"
"avocado",0,10,"USA","FDA1049098-C002-001","PDT000635871.1","CA"
"avocado",1,10,"USA","FDA1049098-C001-001","PDT000635874.1","CA"
"avocado",0,10,"USA","FDA1049100-C001-001","PDT000635892.1","CA"
"beef",5,11,"USA","CFSAN101903","PDT000637788.1","NY"
"water",2,31,"USA","RM50506","PDT000660293.1","CA"
"beef",19,23,"USA","CFSAN103623","PDT000668344.1","WA"
"beef",6,35,"USA","CFSAN103607","PDT000668356.1","WA"
"beef",6,35,"USA","CFSAN103608","PDT000668362.1","WA"
"beef",13,8,"USA","CFSAN103627","PDT000668363.1","WA"
"beef",13,14,"USA","CFSAN103622","PDT000668370.1","WA"
"beef",13,8,"USA","CFSAN103628","PDT000668373.1","WA"
"water",5,30,"USA","RM50507","PDT000659136.1","CA"
"water",3,29,"USA","RM19904","PDT000687354.1","CA"
"water",7,22,"USA","RM50577","PDT000687361.1","CA"
"water",1,4,"USA","RM50580","PDT000687478.1","CA"
"water",1,3,"USA","CFSAN093491","PDT000687481.1","CA"
"water",0,27,"USA","RM50579","PDT000687485.1","CA"
"water",4,15,"USA","RM50567","PDT000688678.1","CA"
"water",2,12,"USA","RM50565","PDT000688691.1","CA"
"water",4,21,"USA","RM50520","PDT000677898.1","CA"
"water",1,8,"USA","RM50517","PDT000677904.1","CA"
"water",5,22,"USA","RM50509","PDT000677908.1","CA"
"water",4,11,"USA","RM50515","PDT000677910.1","CA"
"water",26,29,"USA","RM50514","PDT000677914.1","CA"
"water",5,26,"USA","RM50519","PDT000677920.1","CA"
"water",5,10,"USA","RM50512","PDT000677932.1","CA"
"water",5,25,"USA","RM50511","PDT000677936.1","CA"
"water",15,18,"USA","RM50547","PDT000677939.1","CA"
"water",3,21,"USA","RM50536","PDT000677945.1","CA"
"water",20,34,"USA","RM50524","PDT000677946.1","CA"
"water",9,11,"USA","RM50533","PDT000677950.1","CA"
"water",3,24,"USA","RM50534","PDT000677951.1","CA"
"water",1,25,"USA","RM50544","PDT000677953.1","CA"
"water",10,24,"USA","RM50528","PDT000677954.1","CA"
"water",2,28,"USA","RM50542","PDT000677959.1","CA"
"water",2,17,"USA","RM50535","PDT000677960.1","CA"
"water",3,8,"USA","RM16542","PDT000688787.1","CA"
"water",1,24,"USA","RM15692","PDT000688789.1","CA"
"water",16,31,"USA","RM19766","PDT000688790.1","CA"
"water",1,16,"USA","RM16545","PDT000688791.1","CA"
"water",2,4,"USA","RM16540","PDT000688793.1","CA"
"water",0,15,"USA","RM19470","PDT000688795.1","CA"
"water",6,9,"USA","RM19466","PDT000688796.1","CA"
"water",20,25,"USA","RM17223","PDT000688798.1","CA"
"water",17,34,"USA","RM15697","PDT000688799.1","CA"
"water",0,6,"USA","RM19744","PDT000688800.1","CA"
"water",12,28,"USA","RM19487","PDT000688801.1","CA"
"water",1,17,"USA","RM17233","PDT000688803.1","CA"
"water",23,24,"USA","RM16847","PDT000688804.1","CA"
"water",2,20,"USA","RM19746","PDT000688805.1","CA"
"water",0,20,"USA","RM19485","PDT000688806.1","CA"
"water",4,32,"USA","RM17225","PDT000688807.1","CA"
"water",0,5,"USA","RM19764","PDT000688812.1","CA"
"water",14,19,"USA","RM19444","PDT000688813.1","CA"
"water",4,9,"USA","RM19771","PDT000688814.1","CA"
"water",1,21,"USA","RM19439","PDT000688815.1","CA"
"water",1,13,"USA","RM19769","PDT000688816.1","CA"
"water",6,30,"USA","RM19770","PDT000688817.1","CA"
"water",2,14,"USA","RM16848","PDT000688818.1","CA"
"water",6,19,"USA","RM19765","PDT000688819.1","CA"
"water",14,10,"USA","RM19442","PDT000688820.1","CA"
"water",0,28,"USA","RM16852","PDT000688821.1","CA"
"water",0,7,"USA","RM19437","PDT000688822.1","CA"
"water",0,18,"USA","RM19767","PDT000688823.1","CA"
"water",4,15,"USA","RM19440","PDT000688825.1","CA"
"water",1,19,"USA","RM15675","PDT000688826.1","CA"
"water",1,27,"USA","RM15684","PDT000688827.1","CA"
"water",16,14,"USA","RM19468","PDT000688829.1","CA"
"water",11,20,"USA","RM15677","PDT000688830.1","CA"
"water",13,18,"USA","RM15673","PDT000688831.1","CA"
"water",4,21,"USA","RM19443","PDT000688832.1","CA"
"water",7,4,"USA","RM15681","PDT000688834.1","CA"
"water",2,29,"USA","RM19756","PDT000688835.1","CA"
"water",7,15,"USA","RM19497","PDT000688836.1","CA"
"water",0,17,"USA","RM19435","PDT000688839.1","CA"
"water",7,11,"USA","RM19457","PDT000688842.1","CA"
"water",4,17,"USA","RM17199","PDT000688843.1","CA"
"water",7,8,"USA","RM19493","PDT000688846.1","CA"
"water",11,17,"USA","RM19492","PDT000688847.1","CA"
"water",14,18,"USA","RM17193","PDT000688849.1","CA"
"water",1,22,"USA","RM16900","PDT000688850.1","CA"
"water",0,16,"USA","RM19763","PDT000688851.1","CA"
"water",0,2,"USA","RM19737","PDT000688852.1","CA"
"water",1,7,"USA","RM16897","PDT000688853.1","CA"
"water",1,14,"USA","RM19464","PDT000688854.1","CA"
"water",3,36,"USA","RM19465","PDT000688855.1","CA"
"water",15,20,"USA","RM16899","PDT000688857.1","CA"
"water",5,5,"USA","RM19456","PDT000688858.1","CA"
"water",0,18,"USA","RM19773","PDT000688859.1","CA"
"water",1,29,"USA","RM17090","PDT000688862.1","CA"
"water",18,26,"USA","RM16898","PDT000688864.1","CA"
"water",2,24,"USA","RM17195","PDT000688867.1","CA"
"water",2,31,"USA","RM17189","PDT000688872.1","CA"
"water",1,29,"USA","RM16885","PDT000688873.1","CA"
"water",3,37,"USA","RM17187","PDT000688875.1","CA"
"water",3,16,"USA","CFSAN073945","PDT000688876.1","CA"
"water",21,28,"USA","RM16896","PDT000688877.1","CA"
"water",2,25,"USA","RM17155","PDT000688878.1","CA"
"water",2,28,"USA","RM17185","PDT000688879.1","CA"
"water",26,30,"USA","RM19734","PDT000688881.1","CA"
"water",0,13,"USA","RM17178","PDT000688882.1","CA"
"water",0,13,"USA","RM17180","PDT000688883.1","CA"
"water",13,13,"USA","RM19751","PDT000688884.1","CA"
"water",2,5,"USA","RM17096","PDT000688885.1","CA"
"water",3,23,"USA","RM19760","PDT000688886.1","CA"
"water",1,16,"USA","RM19449","PDT000688887.1","CA"
"water",13,25,"USA","RM17175","PDT000688888.1","CA"
"water",3,9,"USA","RM17167","PDT000688890.1","CA"
"water",0,16,"USA","RM19761","PDT000688895.1","CA"
"water",1,17,"USA","RM19451","PDT000688899.1","CA"
"water",11,9,"USA","RM19754","PDT000688900.1","CA"
"water",0,15,"USA","RM19448","PDT000688901.1","CA"
"water",10,13,"USA","RM19453","PDT000688902.1","CA"
"water",0,7,"USA","RM16551","PDT000688903.1","CA"
"water",2,5,"USA","RM19481","PDT000688904.1","CA"
"water",4,5,"USA","RM15666","PDT000688906.1","CA"
"water",18,22,"USA","RM16558","PDT000688907.1","CA"
"water",5,6,"USA","RM16559","PDT000688908.1","CA"
"water",31,29,"USA","RM19483","PDT000688909.1","CA"
"water",0,6,"USA","RM15668","PDT000688910.1","CA"
"water",0,26,"USA","RM15658","PDT000688911.1","CA"
"water",3,3,"USA","RM15660","PDT000688913.1","CA"
"water",10,27,"USA","RM15654","PDT000688914.1","CA"
"water",1,22,"USA","RM16552","PDT000688915.1","CA"
"water",0,11,"USA","RM19475","PDT000688916.1","CA"
"water",11,21,"USA","RM19479","PDT000688917.1","CA"
"water",0,26,"USA","CFSAN068144","PDT000688918.1","CA"
"water",5,17,"USA","RM15648","PDT000688920.1","CA"
"water",0,15,"USA","RM19480","PDT000688921.1","CA"
"water",3,15,"USA","RM16549","PDT000688922.1","CA"
"water",1,14,"USA","RM16853","PDT000688923.1","CA"
"water",2,9,"USA","RM15645","PDT000688924.1","CA"
"water",1,7,"USA","RM15647","PDT000688925.1","CA"
"water",6,8,"USA","RM16547","PDT000688926.1","CA"
"water",13,20,"USA","RM15644","PDT000688927.1","CA"
"water",3,15,"USA","RM16546","PDT000688928.1","CA"
"water",2,27,"USA","RM16548","PDT000688930.1","CA"
"water",10,25,"USA","RM15653","PDT000688931.1","CA"
"water",9,29,"USA","RM15662","PDT000688932.1","CA"
"water",11,23,"USA","RM15649","PDT000688933.1","CA"
"water",23,18,"USA","RM19477","PDT000688934.1","CA"
"water",8,28,"USA","RM15664","PDT000688936.1","CA"
"water",6,7,"USA","RM16843","PDT000688937.1","CA"
"water",4,11,"USA","RM16556","PDT000688938.1","CA"
"water",0,11,"USA","RM19476","PDT000688939.1","CA"
"water",0,27,"USA","RM16844","PDT000688943.1","CA"
"beef",14,13,"USA","CFSAN103606","PDT000668313.1","WA"
"beef",5,26,"USA","CFSAN103625","PDT000668329.1","WA"
"beef",7,29,"USA","CFSAN103626","PDT000668333.1","WA"
"water",24,20,"USA","RM50548","PDT000677979.1","CA"
"water",3,17,"USA","RM50525","PDT000677982.1","CA"
"water",1,11,"USA","RM50555","PDT000677984.1","CA"
"water",0,27,"USA","RM50554","PDT000677986.1","CA"
"water",5,11,"USA","RM50549","PDT000677992.1","CA"
"water",4,6,"USA","RM50556","PDT000677995.1","CA"
"water",2,24,"USA","RM50550","PDT000677998.1","CA"
"water",7,4,"USA","RM50552","PDT000677999.1","CA"
"water",22,19,"USA","RM16903","PDT000688739.1","CA"
"water",1,28,"USA","CFSAN068192","PDT000688741.1","CA"
"water",20,25,"USA","RM19735","PDT000688742.1","CA"
"water",3,26,"USA","RM19463","PDT000688743.1","CA"
"water",18,24,"USA","RM16891","PDT000688744.1","CA"
"water",21,15,"USA","RM16892","PDT000688747.1","CA"
"water",1,15,"USA","RM19755","PDT000688748.1","CA"
"water",9,11,"USA","RM19462","PDT000688749.1","CA"
"water",10,10,"USA","RM19498","PDT000688750.1","CA"
"water",29,29,"USA","RM16895","PDT000688751.1","CA"
"water",0,27,"USA","RM17091","PDT000688752.1","CA"
"water",4,5,"USA","RM17094","PDT000688753.1","CA"
"water",22,29,"USA","RM19473","PDT000688754.1","CA"
"water",2,9,"USA","RM19499","PDT000688755.1","CA"
"water",0,15,"USA","RM19454","PDT000688757.1","CA"
"water",0,20,"USA","RM19748","PDT000688758.1","CA"
"water",15,5,"USA","RM16894","PDT000688759.1","CA"
"water",1,22,"USA","RM19749","PDT000688760.1","CA"
"water",13,24,"USA","RM19474","PDT000688762.1","CA"
"water",1,22,"USA","RM19472","PDT000688763.1","CA"
"water",13,26,"USA","RM19750","PDT000688764.1","CA"
"water",9,33,"USA","RM19743","PDT000688765.1","CA"
"water",1,30,"USA","RM15695","PDT000688766.1","CA"
"water",16,15,"USA","RM15685","PDT000688767.1","CA"
"water",27,25,"USA","RM19446","PDT000688768.1","CA"
"water",4,7,"USA","RM16544","PDT000688769.1","CA"
"water",0,6,"USA","RM16541","PDT000688773.1","CA"
"water",0,27,"USA","RM50557","PDT000688664.1","CA"
"water",10,17,"USA","RM50566","PDT000688686.1","CA"
"water",0,18,"USA","RM50560","PDT000688688.1","CA"
"water",12,40,"USA","RM50562","PDT000688699.1","CA"
"water",4,16,"USA","RM50569","PDT000688706.1","CA"
"water",3,20,"USA","RM50574","PDT000688715.1","CA"
"water",6,16,"USA","RM50559","PDT000688718.1","CA"
"water",21,26,"USA","RM50568","PDT000688726.1","CA"
"water",2,6,"USA","CFSAN068206","PDT000688735.1","CA"
"water",2,29,"USA","RM19488","PDT000688736.1","CA"
"water",2,6,"USA","RM16902","PDT000688737.1","CA"
"water",18,15,"USA","RM50541","PDT000677963.1","CA"
"water",3,17,"USA","RM50543","PDT000677964.1","CA"
"water",11,14,"USA","RM50532","PDT000677968.1","CA"
"water",6,11,"USA","RM50529","PDT000677969.1","CA"
"water",1,24,"USA","RM50538","PDT000677970.1","CA"
"water",6,9,"USA","RM50546","PDT000677971.1","CA"
"water",8,22,"USA","RM50530","PDT000677972.1","CA"
"water",1,16,"USA","RM50531","PDT000677976.1","CA"
"water",3,21,"USA","RM50539","PDT000677977.1","CA"
"water",1,10,"USA","RM50540","PDT000677978.1","CA"
"water",0,20,"USA","RM20206","PDT000689634.1","CA"
"water",1,29,"USA","RM20335","PDT000689635.1","CA"
"water",3,3,"USA","RM20107","PDT000689636.1","CA"
"water",0,19,"USA","RM20339","PDT000689637.1","CA"
"water",1,19,"USA","RM19777","PDT000689642.1","CA"
"water",4,7,"USA","RM20245","PDT000689643.1","CA"
"water",9,11,"USA","RM52402","PDT000689644.1","CA"
"water",1,14,"USA","RM19408","PDT000689645.1","CA"
"water",3,30,"USA","RM20265","PDT000689646.1","CA"
"water",8,10,"USA","RM20246","PDT000689647.1","CA"
"water",4,14,"USA","RM19409","PDT000689651.1","CA"
"water",0,22,"USA","RM20266","PDT000689652.1","CA"
"water",2,10,"USA","RM20242","PDT000689653.1","CA"
"water",4,6,"USA","RM52457","PDT000689654.1","CA"
"water",0,0,"USA","RM52472","PDT000689655.1","CA"
"water",24,6,"USA","RM20163","PDT000689656.1","CA"
"water",20,12,"USA","RM20162","PDT000689659.1","CA"
"water",3,24,"USA","RM20340","PDT000689660.1","CA"
"water",0,23,"USA","RM20031","PDT000689662.1","CA"
"water",4,33,"USA","RM19975","PDT000689663.1","CA"
"water",5,12,"USA","RM52450","PDT000689664.1","CA"
"water",0,18,"USA","RM20341","PDT000689665.1","CA"
"water",16,25,"USA","RM20014","PDT000689666.1","CA"
"water",4,13,"USA","RM52473","PDT000689667.1","CA"
"water",11,20,"USA","RM20273","PDT000689668.1","CA"
"water",9,22,"USA","RM52459","PDT000689670.1","CA"
"water",6,1,"USA","RM20175","PDT000689671.1","CA"
"water",13,16,"USA","RM20275","PDT000689673.1","CA"
"water",1,13,"USA","RM20274","PDT000689674.1","CA"
"water",24,31,"USA","RM20028","PDT000689675.1","CA"
"water",1,20,"USA","RM20146","PDT000689676.1","CA"
"water",10,22,"USA","RM20032","PDT000689680.1","CA"
"water",0,31,"USA","RM52451","PDT000689681.1","CA"
"water",2,12,"USA","RM20147","PDT000689682.1","CA"
"water",6,31,"USA","RM20326","PDT000689683.1","CA"
"water",1,7,"USA","RM20027","PDT000689684.1","CA"
"water",1,24,"USA","RM20167","PDT000689685.1","CA"
"water",0,0,"USA","RM52413","PDT000689686.1","CA"
"water",9,9,"USA","RM20166","PDT000689687.1","CA"
"water",7,16,"USA","RM20024","PDT000689689.1","CA"
"water",1,28,"USA","CFSAN081663","PDT000689690.1","CA"
"water",2,19,"USA","RM19941","PDT000689692.1","CA"
"water",12,24,"USA","RM52415","PDT000689694.1","CA"
"water",3,16,"USA","RM19940","PDT000689695.1","CA"
"water",3,8,"USA","RM52388","PDT000689696.1","CA"
"water",5,12,"USA","RM52475","PDT000689698.1","CA"
"water",0,10,"USA","RM20165","PDT000689699.1","CA"
"water",2,4,"USA","RM20025","PDT000689700.1","CA"
"water",22,21,"USA","RM52418","PDT000689701.1","CA"
"water",13,15,"USA","RM20328","PDT000689702.1","CA"
"water",11,6,"USA","RM52419","PDT000689703.1","CA"
"water",17,17,"USA","RM20164","PDT000689704.1","CA"
"water",10,15,"USA","RM19970","PDT000689705.1","CA"
"water",13,25,"USA","RM52417","PDT000689707.1","CA"
"water",8,10,"USA","RM20013","PDT000689709.1","CA"
"water",4,17,"USA","RM20168","PDT000689710.1","CA"
"water",4,13,"USA","RM20330","PDT000689711.1","CA"
"water",2,7,"USA","RM19969","PDT000689712.1","CA"
"water",5,8,"USA","RM52462","PDT000689713.1","CA"
"water",2,4,"USA","RM20329","PDT000689714.1","CA"
"water",12,30,"USA","RM19968","PDT000689715.1","CA"
"water",4,15,"USA","RM52416","PDT000689716.1","CA"
"water",0,20,"USA","RM20218","PDT000689717.1","CA"
"water",0,0,"USA","RM20123","PDT000689718.1","CA"
"water",1,14,"USA","RM20140","PDT000689719.1","CA"
"water",7,16,"USA","RM20217","PDT000689720.1","CA"
"water",9,12,"USA","RM52382","PDT000689721.1","CA"
"water",1,13,"USA","RM52381","PDT000689722.1","CA"
"water",7,13,"USA","RM20120","PDT000689723.1","CA"
"water",10,13,"USA","RM20223","PDT000689725.1","CA"
"water",12,13,"USA","RM20121","PDT000689726.1","CA"
"water",1,17,"USA","RM20099","PDT000689727.1","CA"
"water",0,25,"USA","RM20119","PDT000689728.1","CA"
"water",5,22,"USA","RM20224","PDT000689729.1","CA"
"water",3,24,"USA","RM20216","PDT000689730.1","CA"
"water",1,24,"USA","RM20098","PDT000689731.1","CA"
"water",1,29,"USA","RM20122","PDT000689732.1","CA"
"water",2,22,"USA","RM20135","PDT000689734.1","CA"
"water",11,22,"USA","RM20214","PDT000689735.1","CA"
"water",4,36,"USA","RM20097","PDT000689736.1","CA"
"water",5,17,"USA","RM20215","PDT000689737.1","CA"
"water",6,8,"USA","RM20201","PDT000689738.1","CA"
"water",1,18,"USA","RM20219","PDT000689739.1","CA"
"water",15,28,"USA","RM20063","PDT000689740.1","CA"
"water",0,17,"USA","RM52399","PDT000689741.1","CA"
"water",0,7,"USA","RM19944","PDT000689742.1","CA"
"water",0,18,"USA","RM20195","PDT000689744.1","CA"
"water",0,10,"USA","RM20202","PDT000689746.1","CA"
"water",3,30,"USA","RM20254","PDT000689747.1","CA"
"water",0,20,"USA","RM20118","PDT000689748.1","CA"
"water",1,22,"USA","RM20069","PDT000689749.1","CA"
"water",0,24,"USA","RM20138","PDT000689752.1","CA"
"water",2,22,"USA","RM20134","PDT000689753.1","CA"
"water",8,22,"USA","RM20139","PDT000689754.1","CA"
"water",1,22,"USA","RM20240","PDT000689755.1","CA"
"water",8,36,"USA","RM20109","PDT000689756.1","CA"
"water",0,0,"USA","RM20136","PDT000689758.1","CA"
"water",10,11,"USA","RM20194","PDT000689759.1","CA"
"water",9,23,"USA","RM20110","PDT000689760.1","CA"
"water",0,11,"USA","RM20238","PDT000689762.1","CA"
"water",0,21,"USA","RM20239","PDT000689763.1","CA"
"water",0,22,"USA","RM20192","PDT000689764.1","CA"
"water",10,5,"USA","RM20196","PDT000689765.1","CA"
"water",2,38,"USA","RM20112","PDT000689767.1","CA"
"water",1,21,"USA","RM20211","PDT000689768.1","CA"
"water",12,8,"USA","RM20095","PDT000689774.1","CA"
"water",5,7,"USA","RM20210","PDT000689778.1","CA"
"water",12,22,"USA","RM20071","PDT000689782.1","CA"
"water",0,0,"USA","RM20133","PDT000689783.1","CA"
"water",0,7,"USA","RM20072","PDT000689784.1","CA"
"water",0,21,"USA","RM20237","PDT000689786.1","CA"
"water",0,25,"USA","RM20066","PDT000689788.1","CA"
"water",0,18,"USA","RM20117","PDT000689797.1","CA"
"water",6,21,"USA","RM20185","PDT000689804.1","CA"
"water",10,33,"USA","RM20078","PDT000689809.1","CA"
"water",3,5,"USA","RM20077","PDT000689812.1","CA"
"water",17,27,"USA","RM20058","PDT000689818.1","CA"
"water",9,18,"USA","RM20182","PDT000689820.1","CA"
"water",3,23,"USA","RM20129","PDT000689824.1","CA"
"water",5,8,"USA","RM20131","PDT000689825.1","CA"
"water",1,32,"USA","RM52379","PDT000689828.1","CA"
"water",1,1,"USA","RM20126","PDT000689829.1","CA"
"water",0,17,"USA","RM20128","PDT000689831.1","CA"
"water",0,17,"USA","RM20184","PDT000689833.1","CA"
"water",1,15,"USA","RM20130","PDT000689835.1","CA"
"water",1,26,"USA","RM20149","PDT000689836.1","CA"
"water",7,23,"USA","RM52378","PDT000689840.1","CA"
"water",10,10,"USA","RM20116","PDT000689841.1","CA"
"water",8,25,"USA","RM20114","PDT000689843.1","CA"
"water",0,24,"USA","RM20221","PDT000689849.1","CA"
"water",4,29,"USA","RM20055","PDT000689853.1","CA"
"water",1,23,"USA","RM20054","PDT000689855.1","CA"
"water",0,24,"USA","RM20222","PDT000689858.1","CA"
"water",0,12,"USA","RM20105","PDT000689889.1","CA"
"water",19,8,"USA","RM20203","PDT000689891.1","CA"
"water",0,8,"USA","RM20089","PDT000689896.1","CA"
"water",1,29,"USA","RM20084","PDT000689900.1","CA"
"water",26,31,"USA","RM20171","PDT000689901.1","CA"
"water",1,0,"USA","RM20150","PDT000689902.1","CA"
"water",9,9,"USA","RM20086","PDT000689904.1","CA"
"water",2,14,"USA","RM20180","PDT000689906.1","CA"
"water",1,3,"USA","RM20151","PDT000689911.1","CA"
"water",2,19,"USA","RM20173","PDT000689912.1","CA"
"water",8,22,"USA","RM20322","PDT000689913.1","CA"
"water",5,12,"USA","RM20320","PDT000689914.1","CA"
"water",8,23,"USA","RM52387","PDT000689916.1","CA"
"water",24,25,"USA","RM20076","PDT000689918.1","CA"
"water",1,25,"USA","RM20079","PDT000689919.1","CA"
"water",1,4,"USA","RM20191","PDT000689920.1","CA"
"water",4,17,"USA","RM52385","PDT000689921.1","CA"
"water",7,35,"USA","RM20189","PDT000689922.1","CA"
"water",1,6,"USA","RM20087","PDT000689924.1","CA"
"water",2,30,"USA","RM20085","PDT000689925.1","CA"
"water",9,23,"USA","RM20019","PDT000689055.1","CA"
"water",15,18,"USA","RM20065","PDT000689056.1","CA"
"water",14,23,"USA","RM20062","PDT000689058.1","CA"
"water",2,15,"USA","RM19957","PDT000689059.1","CA"
"water",4,34,"USA","RM20100","PDT000689070.1","CA"
"water",0,23,"USA","RM20197","PDT000689075.1","CA"
"water",1,21,"USA","RM19946","PDT000689083.1","CA"
"water",2,13,"USA","RM20299","PDT000689091.1","CA"
"water",7,6,"USA","RM20297","PDT000689103.1","CA"
"water",2,32,"USA","RM19978","PDT000689105.1","CA"
"water",7,18,"USA","RM19977","PDT000689106.1","CA"
"water",17,23,"USA","RM19999","PDT000689155.1","CA"
"water",17,24,"USA","RM52398","PDT000689172.1","CA"
"water",14,23,"USA","RM20016","PDT000689199.1","CA"
"water",0,9,"USA","RM52408","PDT000689209.1","CA"
"water",1,12,"USA","RM52396","PDT000689278.1","CA"
"water",12,14,"USA","RM52397","PDT000689281.1","CA"
"water",0,0,"USA","RM52465","PDT000689300.1","CA"
"water",0,0,"USA","RM52464","PDT000689303.1","CA"
"water",0,10,"USA","RM20249","PDT000689310.1","CA"
"water",4,33,"USA","RM52420","PDT000689313.1","CA"
"water",1,18,"USA","RM52389","PDT000689315.1","CA"
"water",2,19,"USA","RM20000","PDT000689316.1","CA"
"water",3,20,"USA","RM52405","PDT000689317.1","CA"
"water",3,25,"USA","RM52394","PDT000689318.1","CA"
"water",13,13,"USA","RM20010","PDT000689320.1","CA"
"water",3,20,"USA","RM20017","PDT000689321.1","CA"
"water",0,7,"USA","RM52404","PDT000689322.1","CA"
"water",1,18,"USA","RM20229","PDT000689324.1","CA"
"water",1,25,"USA","RM52393","PDT000689326.1","CA"
"water",0,22,"USA","RM52409","PDT000689327.1","CA"
"water",1,22,"USA","RM20231","PDT000689335.1","CA"
"water",25,38,"USA","RM52406","PDT000689336.1","CA"
"water",3,26,"USA","RM52395","PDT000689337.1","CA"
"water",1,22,"USA","RM20230","PDT000689359.1","CA"
"water",1,32,"USA","RM52449","PDT000689364.1","CA"
"water",7,24,"USA","RM52448","PDT000689384.1","CA"
"water",9,11,"USA","RM52428","PDT000689394.1","CA"
